number,english,ipa,ru
656,Car,kɑː(r),автомобиль
657,Bar,bɑː(r),бар
658,Park,pɑːk,парк
659,Fiancé,fiˈɒnseɪ,жених
660,To dump,dʌmp,бросить
661,"Spouse,",spaʊs | spaʊz,супруг(а)
662,Sight,saɪt,взгляд
663,Boyfriend,ˈbɔɪfrend,"парень, бойфренд"
664,Girlfriend,ˈɡɜːlfrend,"подруга, любимая девушка"
665,Dinner,ˈdɪnə(r),ужин
666,Partner,ˈpɑːtnə(r),"партнер еще есть вопросы, которые хочется обсудить перед Например, в английском часто употребляют эти"
667,Gift,ɡɪft,подарок
668,Wine,waɪn,вино
669,To chat,tʃæt,беседовать
670,Shy,ʃaɪ,застенчивый общении)
671,Nervous,ˈnɜːvəs,нервный
672,Couple,ˈkʌpl,пара
673,Passionate,ˈpæʃənət,страстный
674,Gaze,ɡeɪz,взгляд общении)
675,Unforgettable,ˌʌnfəˈɡetəbl,незабываемый
676,To forget,fəˈɡet,забывать
677,To forgive,fəˈɡɪv,прощать
678,To hug,hʌɡ,обнимать
679,Special,ˈspeʃl,особенный
680,Sparkle,ˈspɑːkl,искра
681,Bond,bɒnd,связь
682,Podcast,ˈpɒdkɑːst,подкаст
683,Pastime,ˈpɑːstaɪm,времяпрепровождение
684,Baking,ˈbeɪkɪŋ,выпечка
685,Cooking,ˈkʊkɪŋ,готовка
686,Yoga,ˈjəʊɡə,йога
687,Fitness,ˈfɪtnəs,фитнес
688,Meditation,ˌmedɪˈteɪʃn,медитация
689,Feeling,ˈfiːlɪŋ,чувство
690,Jealous,ˈdʒeləs,ревнивый
691,Divorce,dɪˈvɔːs,развод
692,Soulmate,ˈsəʊlmeɪt,родственная душа
693,Tolerance,ˈtɒlərəns,терпимость
694,Reunion,ˌriːˈjuːniən,воссоединение
695,To cuddle,ˈkʌdl,обнимать
696,Tenderness,ˈtendənəs,нежность
697,Sensual,ˈsenʃuəl,чувственный
698,Affection,əˈfekʃn,привязанность
699,Embrace,ɪmˈbreɪs,объятие
700,Admiration,ˌædməˈreɪʃn,восхищение
701,Pleasure,ˈpleʒə(r),удовольствие
702,Connection,kəˈnekʃn,связь
703,Chemistry,ˈkemɪstri,химия
704,Passion,ˈpæʃn,страсть
705,Smitten,ˈsmɪtn,влюблённый по уши
706,Monogamy,məˈnɒɡəmi,моногамия
707,To woo,wuː,"ухаживать, добиваться"
708,To dote on someone,dəʊt ən ˈsʌmwʌn,души не чаять в ком-то
709,Fantasy,ˈfæntəsi,фантазия по расчёту
710,To love bomb,ˈlʌv ˌbɒm,заваливать вниманием и любовью
711,Experimentation,ɪkˌsperɪmenˈteɪʃn,эксперименты
712,To have a fling,hæv ə flɪŋ,закрутить короткий роман
713,Trust,trʌst,доверие
714,Safety,ˈseɪfti,безопасность
715,To slide into,slaɪd ˈɪntə ˌdiː ˈemz,написать в личные
716,To play hard to get,pleɪ hɑːd tə ɡet,строить из себя
717,To caress,kəˈres,гладить
718,To kiss,kɪs,целовать
719,To touch,tʌtʃ,прикасаться
720,Red flag,ˌred ˈflæɡ,тревожный сигнал
721,Privacy,ˈprɪvəsi,уединение
722,Situationship,ˌsɪtʃuˈeɪʃnʃɪp,недоотношения любовь
723,To be exclusive,bi ɪkˈskluːsɪv,встречаться только
724,To move in together,ˈklaɪmæks,кульминация
725,To pop the question,pɒp ðə ˈkwesʧən,сделать
726,To tie the knot,taɪ ðə nɒt,пожениться
727,Lover,ˈlʌvə(r),возлюбленный
728,Imagination,ɪˌmædʒɪˈneɪʃn,воображение
729,Husband,ˈhʌzbənd,муж
730,Wife,waɪf,жена
731,Tenderness,ˈtendənəs,нежность
732,To settle down,ˈsetl daʊn,остепениться
733,To elope,ɪˈləʊp,тайно сбежать и пожениться
734,Consent,kənˈsent,согласие
735,Boundaries,ˈbaʊndərɪz,границы
736,Communication,kəˌmjuːnɪˈkeɪʃn,коммуникация
737,Respect,rɪˈspekt,уважение
738,Delicacy,ˈdelɪkəsi,"деликатность, чуткость"
739,Spontaneity,ˌspɒntəˈneɪəti,спонтанность
740,Proposal,prəˈpəʊzəl,предложение (руки и сердца)
741,Thrill,θrɪl,острые ощущения
742,Playful,ˈpleɪfl,игривый
743,Fun,fʌn,веселье
744,Arranged marriage,əˈreɪndʒd ˈmærɪdʒ,брак
745,Courtship,ˈkɔːtʃɪp,ухаживания
746,Matchmaking,ˈmætʃˌmeɪkɪŋ,сватовство
747,Betrothal,bɪˈtrəʊðl,помолвка
748,Anniversary,ˌænɪˈvɜːsəri,годовщина
749,Bachelorette,ˌbætʃələˈret,девичник
750,Wedding,ˈwedɪŋ,свадьба
751,Bride,braɪd,невеста
752,Groom,ɡruːm,жених
753,Vow,lɪˈbiːdəʊ,клятва недотрогу
754,Drive,draɪv,влечение
755,Energy,ˈenədʒi,энергия
756,Vitality,vaɪˈtæləti,"живость, энергичность"
757,Honeymoon,ˈhʌnimuːn,медовый месяц
758,Pregnancy,ˈpreɡnənsi,беременность
759,Unrequited love,ʌnrɪˈkwaɪtɪd lʌv,безответная
760,Wellness,ˈwelnəs,хорошее самочувствие друг с другом
761,To friend zone,ˈfrend zəʊn,"оставить в друзьях, предложение"
762,Affair,əˈfeə(r),роман
763,Separation,ˈpriːnʌp,развод
764,Prenup,ˈpriːnʌp,брачный договор
765,Alimony,ˈælɪməni,алименты
766,To make up,meɪk ʌp,помириться
767,Expression,ɪkˈspreʃn,выражение
768,Lifestyle,ˈlaɪfstaɪl,стиль жизни
769,Community,kəˈmjuːnəti,сообщество
770,Commitment,kəˈmɪtmənt,обязательство
771,Marriage,ˈmærɪdʒ,"брак при покупке обучения Определим ваш текущий уровень языка Покажем, как проходят уроки, как выбрать преподавателя и настроить расписание Подберём курсы под ваши интересы и цели"
772,"Romance,",rəʊˈmæns | ˈrəʊmæns,"роман, романтика"
773,Infatuation,ɪnˌfætʃuˈeɪʃn,увлечение
774,Rejection,rɪˈdʒekʃn,отказ
775,Salary,ˈsæləri,зарплата
776,Profit,ˈprɒfɪt,прибыль
777,Task,tɑːsk,задача
778,Project,ˈprɒdʒekt,проект
779,Deadline,ˈdedlaɪn,"срок выполнения, дедлайн"
780,Schedule,ˈʃedjuːl,график
781,Skill,skɪl,навык
782,Remote,rɪˈməʊt,"удалённый Пока посмотрим, что Слова вроде знакомые, но ничего Произошло столкновение Маши с английским общении и в интернете такое встречается популярные слова и сокращения, чтобы"
783,Goal,ɡəʊl,цель
784,Success,səkˈses,успех
785,Investment,ɪnˈvestmənt,инвестиция
786,Sale,seɪl,продажа
787,Purchase,ˈpɜːtʃəs,покупка
788,Stock,stɒk,акции
789,Growth,ɡrəʊθ,рост
790,IRL,ˌaɪ ɑːr ˈel,"in real life, в реальной жизни"
791,To yeet,jiːt,кидать
792,Bae,beɪ,короткая версия слова baby
793,Swag,swæɡ,очень классный
794,Basic,ˈbeɪsɪk,"обычный, неоригинальный"
795,To slay,sleɪ,отлично справляться с чем-то
796,Extra,ˈekstrə,чрезмерный
797,Damn,dæm,чёрт
798,"LOL,",lɒl | ˌel əʊ ˈel,"laughing out loud,"
799,To cancel,ˈkænsl,"«отменять», переставать"
800,Facepalm,ˈfeɪspɑːm,"фейспалм,"
801,Noob,nuːb,новичок
802,Epic,ˈepɪk,"легендарный, лучший"
803,To fail,feɪl,провалиться
804,ROFL,ˈrɒfl,"rolling on the floor laughing,"
805,TBH,ˌtiː biː ˈeɪtʃ,"to be honest, честно говоря"
806,BRB,ˌbiː ɑː ˈbiː,"be right back, скоро вернусь (скромному) мнению"
807,IMO/IMHO/,ˌaɪ em ˈəʊ,"in my (humble) [ˌaɪ em eɪtʃ ˈəʊ] opinion, по моему"
808,Kudos,ˈkjuːdɒs,"браво, респект"
809,NSFW [ˌen es ef,,"not safe for work, что-то, смеяться в голос поддерживать кого-то"
810,Viral,ˈvaɪrəl,"популярный, вирусный"
811,Selfie,ˈselfi,селфи
812,Gig,ɡɪɡ,концерт
813,Earworm,ˈɪəwɜːm,навязчивая мелодия
814,Lame,leɪm,"скучный, плохой"
815,Gross,ɡrəʊs,отвратительно
816,"ASAP,",ˌeɪ es eɪ ˈpiː,"as soon as possible,"
817,OMG,ˌəʊ em ˈdʒiː,"oh my God, о боже"
818,ETA [ˌiː tiː,,"estimated time of arrival,"
819,BTW,biː tiː ˈdʌbljuː,"by the way, кстати смеяться до слез Никого не удивит, что в топ наиболее часто употребляемых в интернете слов входят слова, только с целью кликов) в соцсетях или интересное (закрепленные сторис в соцсетях) Чем чаще всего занимаются англичане, при покупке обучения Определим ваш текущий уровень языка Покажем, как проходят уроки, как выбрать преподавателя и настроить расписание Подберём курсы под ваши интересы и цели"
820,Feed,fiːd,лента (новостей)
821,Like,laɪk,лайк
822,Comment,ˈkɒment,комментарий
823,Post,pəʊst,"пост, выкладывать пост"
824,To share,ʃeə(r),делиться в соцсетях
825,To follow,ˈfɒləʊ,"подписаться, отслеживать"
826,To unfollow,ˌʌnˈfɒləʊ,отписаться
827,Bio,baɪəʊ,биография в шапке профиля
828,Hashtag,ˈhæʃtæɡ,хештег
829,Tag,tæɡ,тег
830,Filter,ˈfɪltə(r),фильтр
831,Caption,ˈkæpʃn,подпись
832,Shorts,ʃɔːts,шортсы
833,Algorithm,ˈælɡərɪðəm,алгоритм
834,Engagement,ɪnˈɡeɪdʒmənt,вовлечение
835,Follower,ˈfɒləʊə(r),подписчик
836,Creator,kriˈeɪtə(r),креатор
837,Shout-out,ˈʃaʊt aʊt,публичная благодарность
838,Repost,rɪˈpəʊst,репост
839,Trend,trend,тренд
840,Theme,θiːm,тема
841,Brand,brænd,бренд
842,Highlights,ˈhaɪlaɪts,хайлайты
843,Archive,ˈɑːkaɪv,архив
844,Vlog,vlɒɡ,"влог, видеоблог"
845,Blogger,ˈblɒɡə(r),блогер
846,Fashion,ˈfæʃn,мода
847,Promo (promotion),ˈprəʊməʊ,промо
848,Affiliate,əˈfɪliət,партнёр
849,Ad (advertisement) (),æd | ədˈvɜːtɪsmənt,реклама
850,Sponsored,ˈspɒnsəd,спонсируемый
851,Emoji,ɪˈməʊdʒi,эмодзи
852,Clickbait,ˈklɪkbeɪt,кликбейт (контент
853,Link,lɪŋk,ссылка
854,Geotag,ˈdʒiːəʊtæɡ,геометка
855,Location,ləʊˈkeɪʃn,местоположение
856,Notification,ˌnəʊtɪfɪˈkeɪʃn,уведомление
857,Verified,ˈverɪfaɪd,проверенный
858,Icon,ˈaɪkɒn,"икона, иконка"
859,Collaboration,kəˌlæbəˈreɪʃn,коллаборация
860,Challenge,ˈtʃælɪndʒ,челлендж
861,Tutorial,tjuːˈtɔːriəl,обучающий контент
862,Review,rɪˈvjuː,обзор
863,Unboxing,ˌʌnˈbɒksɪŋ,распаковка
864,Giveaway,ˈɡɪvəweɪ,конкурс с призами
865,Contest,ˈkɒntest,конкурс
866,FOMO (fear,ˈfəʊməʊ,страх упустить
867,BFF (best friend,ˌbiː ef ˈef,лучший друг
868,Live,laɪv,в прямом эфире
869,Shopping,ˈʃɒpɪŋ,шопинг
870,Discovery,dɪˈskʌvəri,открытие
871,"Niche,",niːʃ | nɪtʃ,ниша
872,To connect,kəˈnekt,связываться
873,To inspire,ɪnˈspaɪə(r),вдохновляться
874,Culture,ˈkʌltʃə(r),культура
875,Creativity,ˌkriːeɪˈtɪvəti,креативность
876,Authenticity,ˌɔːθenˈtɪsəti,аутентичность
877,Visuals,ˈvɪʒuəlz,визуальные эффекты
878,Portfolio,pɔːtˈfəʊliəʊ,портфолио
879,Technology,tekˈnɒlədʒi,технология
880,Online,ˌɒnˈlaɪn,онлайн
881,App,æp,приложение
882,Search,sɜːtʃ,поиск
883,To spill,spɪl,проливать
884,Should,ʃʊd,следует
885,To say,seɪ,сказать
886,To believe,bɪˈliːv,верить
887,To make,meɪk,делать
888,To tell,tel,рассказывать
889,To give,ɡɪv,давать
890,To get,ɡet,получать
891,To know,nəʊ,знать
892,To find,faɪnd,находить
893,To hope,həʊp,надеяться
894,To kill,kɪl,убивать
895,To look,lʊk,"смотреть, выглядеть"
896,To like,laɪk,нравиться
897,To worry,ˈwʌri,беспокоиться
898,To listen,ˈlɪsn,слушать
899,To use,juːz,использовать
900,To change,tʃeɪndʒ,менять
901,To try,traɪ,"пытаться, пробовать"
902,To want,wɒnt,хотеть
903,To sound,saʊnd,звучать
904,To let,let,позволять
905,To run,rʌn,бежать
906,To go,ɡəʊ,идти
907,To cost,kɒst,стоить
908,To take,teɪk,брать
909,To think,θɪŋk,думать
910,To stay,steɪ,оставаться
911,To lose,luːz,терять
912,To support,səˈpɔːt,поддерживать
913,To prefer,prɪˈfɜː(r),предпочитать
914,To talk,tɔːk,разговаривать
915,To ask,ɑːsk,спрашивать
916,To answer,ˈɑːnsə(r),отвечать
917,To start,stɑːt,начинать
918,To eat,iːt,есть
919,To join,dʒɔɪn,присоединяться
920,To see,siː,смотреть
921,To love,lʌv,любить
922,To remain,rɪˈmeɪn,оставаться
923,To put,pʊt,"класть, помещать"
924,To reach,riːtʃ,достигать
925,To cut,kʌt,резать
926,To fall,fɔːl,падать
927,To wait,weɪt,ждать
928,To write,raɪt,писать
929,To bring,brɪŋ,приносить
930,"To realise,",ˈriːəlaɪz | ˈrɪəlaɪz,понимать
931,To involve,ɪnˈvɒlv,вовлекать
932,To reduce,rɪˈdjuːs,сокращать
933,To concern,kənˈsɜːn,беспокоить
934,To fly,flaɪ,летать
935,To raise,reɪz,"поднимать, повышать"
936,To manage,ˈmænɪdʒ,"управлять, справляться"
937,To apply,əˈplaɪ,обращаться; применять
938,To spend,spend,проводить; тратить
939,To keep,kiːp,хранить
940,To smell,smel,"пахнуть, нюхать"
941,To begin,bɪˈɡɪn,начинать
942,To enjoy,ɪnˈdʒɔɪ,получать удовольствие
943,To pretend,prɪˈtend,притворяться
944,To stop,stɒp,останавливаться
945,To build,bɪld,строить
946,To meet,miːt,"встречаться, знакомиться"
947,To stand,stænd,стоять
948,To continue,kənˈtɪnjuː,продолжать
949,To buy,baɪ,покупать
950,To walk,wɔːk,гулять
951,To open,ˈəʊpən,открывать
952,To offer,ˈɒfə(r),предлагать
953,To imagine,ɪˈmædʒɪn,воображать
954,To send,send,отправлять
955,To die,daɪ,умирать
956,To serve,sɜːv,служить
957,To appear,əˈpɪə(r),появляться
958,To return,rɪˈtɜːn,возвращаться
959,To consider,kənˈsɪdə(r),"рассматривать, учитывать"
960,To remember,rɪˈmembə(r),помнить
961,To win,wɪn,побеждать
962,To read,riːd,читать
963,To expect,ɪkˈspekt,ожидать
964,To break,breɪk,"прерывать, ломать"
965,To grow,ɡrəʊ,расти
966,To add,æd,добавлять
967,To allow,əˈlaʊ,позволять
968,To speak,spiːk,говорить
969,To create,kriˈeɪt,создавать
970,To avoid,əˈvɔɪd,избегать
971,To sleep,sliːp,спать
972,To understand,ˌʌndəˈstænd,понимать
973,To lead,liːd,вести
974,To learn,lɜːn,"учить, запоминать"
975,To set,set,устанавливать
976,To include,ɪnˈkluːd,включать
977,To pay,peɪ,платить
978,To feel,fiːl,чувствовать
979,To happen,ˈhæpən,происходить
980,To sit,sɪt,сидеть
981,To provide,prəˈvaɪd,предоставлять
982,Must,mʌst,быть обязанным
983,To hold,həʊld,держать
984,To live,lɪv,жить
985,To play,pleɪ,играть
986,To leave,liːv,"покидать, оставлять"
987,To seem,siːm,казаться
988,To hear,hɪə(r),слышать
989,To care,keə(r),заботиться
990,To show,ʃəʊ,показывать
991,To turn,tɜːn,поворачивать
992,To help,help,помогать
993,To mean,miːn,иметь в виду
994,To become,bɪˈkʌm,становиться
995,To need,niːd,нуждаться
996,To call,kɔːl,звать
997,May,meɪ,мочь
998,To study,ˈstʌdi,изучать
999,To behave,bɪˈheɪv,вести себя
1000,To suggest,səˈdʒest,предлагать
